air_temp,clearsky_ghi,relative_humidity,period_end,period,PV Power
16,0,96.7,2022-01-01T00:15:00Z,PT15M,0
16,0,96.4,2022-01-01T00:30:00Z,PT15M,0
16,0,96.1,2022-01-01T00:45:00Z,PT15M,0
16,0,95.8,2022-01-01T01:00:00Z,PT15M,0
17,13,94.8,2022-01-01T01:15:00Z,PT15M,5.54606
17,36,93.2,2022-01-01T01:30:00Z,PT15M,15.35832
18,64,91.6,2022-01-01T01:45:00Z,PT15M,27.21072
18,97,90,2022-01-01T02:00:00Z,PT15M,41.2412475
18,133,88.6,2022-01-01T02:15:00Z,PT15M,56.5472775
18,173,87.4,2022-01-01T02:30:00Z,PT15M,73.5539775
19,215,86.1,2022-01-01T02:45:00Z,PT15M,91.098725
19,258,84.9,2022-01-01T03:00:00Z,PT15M,109.31847
19,301,83.9,2022-01-01T03:15:00Z,PT15M,127.538215
19,343,82.9,2022-01-01T03:30:00Z,PT15M,145.334245
19,384,82,2022-01-01T03:45:00Z,PT15M,162.70656
19,422,81.1,2022-01-01T04:00:00Z,PT15M,178.80773
20,457,78.4,2022-01-01T04:15:00Z,PT15M,192.9739625
21,490,73.9,2022-01-01T04:30:00Z,PT15M,206.1969
22,519,69.7,2022-01-01T04:45:00Z,PT15M,217.6465425
23,545,65.8,2022-01-01T05:00:00Z,PT15M,227.758225
23,566,63.7,2022-01-01T05:15:00Z,PT15M,236.53423
24,584,63.2,2022-01-01T05:30:00Z,PT15M,243.20826
24,588,62.8,2022-01-01T05:45:00Z,PT15M,244.87407
24,579,62.3,2022-01-01T06:00:00Z,PT15M,241.1259975
24,566,62,2022-01-01T06:15:00Z,PT15M,235.712115
24,550,61.8,2022-01-01T06:30:00Z,PT15M,229.048875
24,538,61.6,2022-01-01T06:45:00Z,PT15M,224.051445
24,529,61.4,2022-01-01T07:00:00Z,PT15M,220.3033725
24,516,60.8,2022-01-01T07:15:00Z,PT15M,214.88949
24,499,59.7,2022-01-01T07:30:00Z,PT15M,207.8097975
25,480,58.6,2022-01-01T07:45:00Z,PT15M,199.2
25,457,57.6,2022-01-01T08:00:00Z,PT15M,189.655
25,431,56.8,2022-01-01T08:15:00Z,PT15M,178.865
25,402,56.4,2022-01-01T08:30:00Z,PT15M,166.83
25,374,56,2022-01-01T08:45:00Z,PT15M,155.21
25,346,55.6,2022-01-01T09:00:00Z,PT15M,143.59
25,316,56.7,2022-01-01T09:15:00Z,PT15M,131.14
25,283,59.5,2022-01-01T09:30:00Z,PT15M,117.445
24,247,62.5,2022-01-01T09:45:00Z,PT15M,102.8637675
23,210,65.6,2022-01-01T10:00:00Z,PT15M,87.76005
23,173,67.5,2022-01-01T10:15:00Z,PT15M,72.297565
23,138,68.2,2022-01-01T10:30:00Z,PT15M,57.67089
23,105,68.8,2022-01-01T10:45:00Z,PT15M,43.880025
23,75,69.5,2022-01-01T11:00:00Z,PT15M,31.342875
23,49,69.9,2022-01-01T11:15:00Z,PT15M,20.477345
23,25,70.1,2022-01-01T11:30:00Z,PT15M,10.447625
23,6,70.4,2022-01-01T11:45:00Z,PT15M,2.50743
23,0,70.6,2022-01-01T12:00:00Z,PT15M,0
23,0,70.6,2022-01-01T12:15:00Z,PT15M,0
23,0,70.4,2022-01-01T12:30:00Z,PT15M,0
23,0,70.1,2022-01-01T12:45:00Z,PT15M,0
23,0,69.9,2022-01-01T13:00:00Z,PT15M,0
23,0,70.3,2022-01-01T13:15:00Z,PT15M,0
23,0,71.3,2022-01-01T13:30:00Z,PT15M,0
22,0,72.3,2022-01-01T13:45:00Z,PT15M,0
22,0,73.3,2022-01-01T14:00:00Z,PT15M,0
22,0,74.5,2022-01-01T14:15:00Z,PT15M,0
21,0,76.1,2022-01-01T14:30:00Z,PT15M,0
21,0,77.8,2022-01-01T14:45:00Z,PT15M,0
21,0,79.5,2022-01-01T15:00:00Z,PT15M,0
20,0,80.9,2022-01-01T15:15:00Z,PT15M,0
20,0,82.2,2022-01-01T15:30:00Z,PT15M,0
20,0,83.5,2022-01-01T15:45:00Z,PT15M,0
20,0,84.8,2022-01-01T16:00:00Z,PT15M,0
19,0,86.1,2022-01-01T16:15:00Z,PT15M,0
19,0,87.3,2022-01-01T16:30:00Z,PT15M,0
19,0,88.5,2022-01-01T16:45:00Z,PT15M,0
18,0,89.8,2022-01-01T17:00:00Z,PT15M,0
18,0,90.4,2022-01-01T17:15:00Z,PT15M,0
18,0,90.4,2022-01-01T17:30:00Z,PT15M,0
18,0,90.4,2022-01-01T17:45:00Z,PT15M,0
18,0,90.4,2022-01-01T18:00:00Z,PT15M,0
18,0,90.5,2022-01-01T18:15:00Z,PT15M,0
18,0,90.8,2022-01-01T18:30:00Z,PT15M,0
18,0,91.1,2022-01-01T18:45:00Z,PT15M,0
18,0,91.4,2022-01-01T19:00:00Z,PT15M,0
18,0,91.7,2022-01-01T19:15:00Z,PT15M,0
18,0,92.2,2022-01-01T19:30:00Z,PT15M,0
17,0,92.6,2022-01-01T19:45:00Z,PT15M,0
17,0,93,2022-01-01T20:00:00Z,PT15M,0
17,0,93.1,2022-01-01T20:15:00Z,PT15M,0
17,0,92.8,2022-01-01T20:30:00Z,PT15M,0
17,0,92.5,2022-01-01T20:45:00Z,PT15M,0
17,0,92.2,2022-01-01T21:00:00Z,PT15M,0
17,0,92.3,2022-01-01T21:15:00Z,PT15M,0
16,0,92.7,2022-01-01T21:30:00Z,PT15M,0
16,0,93.1,2022-01-01T21:45:00Z,PT15M,0
16,0,93.6,2022-01-01T22:00:00Z,PT15M,0
16,0,93.6,2022-01-01T22:15:00Z,PT15M,0
16,0,93.3,2022-01-01T22:30:00Z,PT15M,0
16,0,93,2022-01-01T22:45:00Z,PT15M,0
16,0,92.7,2022-01-01T23:00:00Z,PT15M,0
16,0,92.1,2022-01-01T23:15:00Z,PT15M,0
16,0,91.3,2022-01-01T23:30:00Z,PT15M,0
16,0,90.4,2022-01-01T23:45:00Z,PT15M,0
16,0,89.5,2022-01-02T00:00:00Z,PT15M,0
